fold,hit_rate
1,8
2,8
3,9
4,9
5,8
6,9
7,8
8,8
9,9
10,8
11,9
12,11
13,9
14,10
15,9
16,9
17,8
18,8
19,8
20,9
21,9
22,11
23,9
24,7
25,9
26,8
27,11
28,10
29,11
30,10
31,9
32,10
33,10
34,11
35,9
36,9
37,9
38,7
39,11
40,9
41,5
42,9
43,9
44,11
45,10
46,9
47,8
48,8
49,10
50,10
51,9
52,10
53,10
54,10
55,7
56,10
57,8
58,10
59,11
60,8
61,7
62,8
63,10
64,9
65,9
66,8
67,9
68,8
69,10
70,10
71,11
72,10
73,8
74,11
75,7
76,8
77,9
78,11
79,8
80,11
81,9
82,10
83,9
84,9
85,7
86,9
87,9
88,10
89,10
90,10
91,8
92,11
93,8
94,8
95,8
96,12
97,10
98,11
99,9
100,9
